id,products_name,protein_per_100g,fat_per_100g,carb_per_100g,kcal_per_100g
1198,Миндальные лепестки,22,58,12,650
1199,Орех кола,7.9,0.1,5.2,150
1200,Орех кукуи,7.9,75.8,5.2,620
1201,Орех лещина,13.1,62.6,9.3,653
1202,Орех макадамия,7.9,75.8,5.2,718
1203,Орех пекан,9.2,72,4.3,691
1204,Орех пили,10.8,79.6,4,719
1205,Орех чилим,11.9,3.4,55.4,200
1206,Персик сушёный,3,0.4,57.7,254
1207,Рапс,30.8,43.6,7.2,544
1208,Семена горчицы,25.8,30.8,23.4,474
1209,Семена конопли,20,32.5,14,429
1210,Семена льна,18.3,42.2,28.9,534
1211,Семена пажитника,23,6.4,58.3,323
1212,Семена укропа,16,14.5,55.1,305
1213,Семена фенхеля,15.8,14.8,52.3,345
1214,Семена чиа,16.5,30.7,42.1,512
1215,Семечки дынные,17.6,47.3,14.6,555
1216,Семечки подсолнечника,20.7,52.9,3.4,578
1217,Семечки тыквенные,24.5,45.8,4.7,556
1218,Смесь ореховая Молодёжная Белый Пеликан,10,23.3,52.5,460
1219,Урюк,5,0.4,50.6,213
1220,Финики,2.5,0.5,69.2,274
1221,Фисташки,20,50,7,556
1222,Фундук,16.1,66.9,9.9,704
1223,Хурма вяленая,1.7,0,58.9,242
1224,Цукаты (смесь кубиков ананаса и папайи),2,1,71,301
1225,Цукаты из ананаса,1.7,2.2,17.9,91
1226,Цукаты из апельсина,2,1,71,301
1227,Цукаты из арбузных корок,2.5,0,51,209
1228,Цукаты из груш,0,0,91.6,343
1229,Цукаты из дыни,0.6,0.6,52,319
1230,Цукаты из папайи,0,0,81.7,327
1231,Цукаты из яблок,0.5,0,91.6,343
1232,Черника сушеная,0.9,0.7,72.3,309
1233,Чернослив,2.3,0.7,57.5,231
1234,Шиповник сушёный,3.4,0,21.5,110
1235,Яблоки сушёные,2.2,0.1,59,231
1236,Ягоды годжи сушеные,11.1,2.6,53.4,309
1237,Анчоус атлантический,20.1,6.1,0,135
1238,Анчоусы консервированные,20.1,6.1,0,135
1239,Белуга бланшированная,23.3,15.6,0,234
1240,Белуга свежая,21,0.7,0,147
1241,Бычки в томатном соусе,17.5,2,0,88
1242,Бычок,17.5,2,0,88
1243,Вобла вяленая,46.4,5.5,0,235
1244,Вобла копчёная,31.1,6.3,0,181
1245,Вобла свежая,18,2.8,0,97
1246,Водоросль нори,46.1,0.1,41,349
1247,Горбуша горячего копчения,23.2,7.6,0,161
1248,Горбуша жареная в кляре,17.1,16.4,15.2,281
1249,Горбуша маринованная,20.9,5.8,0,136
1250,Горбуша консервированная,21,6,0,138
1251,Горбуша отварная,22.9,7.8,0,168
1252,Горбуша свежая,20.5,6.5,0,142
1253,Горбуша солёная,22.1,9,0,169
1254,Икра  слабосоленая лососевая,2,9,1,85
1255,Икра черная слабосоленая,0,1,1,13
1256,Икра горбуши зернистая,31.2,11.7,0,230
1257,Икра лососевая зернистая,32,15,0,263
1258,Икра минтаевая пробойная,28.4,1.9,0,131
1259,Икра минтаевая пробойная соленая,23,4,0,128
1260,Икра мойвы Санта Бремор классическая,8.1,38.6,0,365
1261,Икра мойвы Санта Бремор подкопчённая,9.3,38.3,0,382
1262,Икра мойвы Санта Бремор с копчёным лососем,8.8,36.9,0,367
1263,Икра мойвы Санта Бремор с креветкой,8.1,37.9,0,374
1264,Икра мойвы Санта Бремор тресковая,8.4,37.9,0,375
1265,Икра сельди,31.6,10.3,0,222
1266,Икра трески,24,0.2,0,115
1267,Икра трески консервированная,19,11,1,179
1268,Икра щучья,17.3,2,0,87
1269,Кальмар MARE рубленый с креветкой в соусе,5,45,4.5,440
1270,Кальмар в рассоле,7.5,1.2,1.1,45
1271,Кальмары (кольца сушеные),49.1,1.9,3,226
1272,Кальмары жареные,14.2,13.4,1.8,188
1273,Кальмары консервированные,20,2,0,105
1274,Кальмары отварные,21.2,2.8,2,122
1275,Кальмары на гриле,21.8,2.9,2.1,115
1276,Кальмары свежие,19,2.5,1.8,98
1277,Кальмары сушеные,62,2,5,286
1278,Камбала горячего копчения,22,11.6,0,192
1279,Камбала жареная,16.8,15.1,4.7,223
1280,Камбала отварная,18.3,3.3,0,103
1281,Камбала свежая,16.5,1.8,0,83
1282,Карась отварной,20.7,2.1,0,102
1283,Карась свежий,17.7,1.8,0,87
1284,Карп жареный,18.3,11.6,4.5,196
1285,Карп отварной,16,3.7,2,102
1286,Карп свежий,16,5.3,0,112
1287,Кета слабосолёная филе-ломтики,24.3,9.6,0,184
1288,Кета горячего копчения филе-кусок,25,9,0,181
1289,Кета свежая,22,5.6,0,138
1290,Кета соленая,24.3,9.6,0,184
1291,Килька балтийская,14.1,9,0,137
1292,Килька горячего копчения,21.3,8.5,0,162
1293,Килька консервированная,12,11,3.1,159
1294,Килька обжаренная в томатном соусе,14,12,4.5,182
1295,Килька соленая,17.1,7.6,0,137
1296,Коктейль морской замороженный,16,2.5,0,83
1297,Коктейль  из морепродуктов в масле,9.3,31,1,319
1298,Коктейль из морепродуктов в масле,29.8,4.3,3.5,172
1299,Коктейль из морепродуктов в рассоле,10,1.5,1.3,59
1300,Коктейль морской замороженный,2.1,3.6,1.8,124
1301,Корюшка,15.4,4.5,0,102
1302,Краб камчатский,18.3,0.6,0,84
1303,Крабовое мясо,6,1,10,73
1304,Крабовое мясо Санта Бремор,4.9,1.7,12.3,84
1305,Крабовые палочки,6,1,10,73
1306,Крабовые палочки VICI замороженные,6.4,1,18,107
1307,Крабовые палочки VICI сочные,6,1,10,73
1308,Крабовые палочки Санта Бремор Снежный краб,8.9,1,6.3,70
1309,Крабы отварные,16,3.6,0,96
1310,Краснопёрка,18.3,3,0,100
1311,Креветка MARE рубленая в сливочно-чесночном соусе,5,45,4.5,440
1312,Креветки консервированные,17.8,1.1,0,81
1313,Креветки Королевские,18.3,1.2,0.8,87
1314,Креветки маринованные,12.2,1.3,0,60
1315,Креветки отварные,18.9,2.2,0,95
1316,Креветки очищенные замороженные,14,1,0,60
1317,Креветки свежие,22,1,0,97
1318,Креветки Тигровые,19.2,0.6,0,89
1319,Лангуст (мясо шеек),17.5,2,0,88
1320,Лангустин,20.6,1.5,2.4,112
1321,Лещ вяленый,42,5.9,0,221
1322,Лещ горячего копчения,32.8,4.5,0,172
1323,Лещ морской,21.3,6.4,0,105
1324,Лещ отварной,20.9,4.7,0,126
1325,Лещ свежий,17.1,4.1,0,105
1326,Лещ холодного копчения,29.7,4.6,0,160
1327,Лимонелла,17.6,1,0,79
1328,Лобстер,18.8,0.9,0.5,90
1329,Лосось MARE  рубленый подкопчённый,9.5,23,6,270
1330,Лосось MARE  рубленый с креветкой,9.5,23,6,270
1331,Лосось консервированный,20.6,6.3,0,144
1332,Лосось копчёный,21.5,8.4,0,162
1333,Лосось Королевский свежий,20.3,11.7,0,187
1334,Лосось маринованный,21,17,0,237
1335,Лосось с гриля,20.7,22.3,0.6,283
1336,Лосось свежий,19.8,6.3,0,142
1337,Лосось солёный,23,13,0,209
1338,Лосось филе слабосоленое,21.1,16.7,1,233
1339,Макрель,20.7,3.4,0,113
1340,Мидии VICI варено-мороженые,13,2,0,81
1341,Мидии варено-мороженые целые в собственном соку 40/60,16.7,1.7,2.7,89
1342,Мидии жареные,11.2,1.6,0,59
1343,Мидии консервированные,17.5,2,0,88
1344,Мидии маринованные,7,1.1,7.2,67
1345,Мидии в рассоле,10.5,1.5,3.1,70
1346,Мидии отварные,9.1,1.5,0,50
1347,Мидии свежие,11.5,6.9,3.3,77
1348,Минтай (печень),6,50,0,474
1349,Минтай (филе),16,1,0,72
1350,Минтай в кляре,17.1,16.4,15.2,281
1351,Минтай отварной,17.6,1,0,79
1352,Минтай свежий,15.9,0.9,0,72
1353,Мойва ,13.1,7.1,0,116
1354,Мойва жареная,20,30.3,4.2,369
1355,Мойва копченая,18,22,0,270
1356,Мойва маринованная,13.8,18.1,0,217
1357,Мойва свежая,13.4,11.5,0,157
1358,Мойва соленая,13.6,18.1,0,217
1359,Морепродукты VICI мороженые и варено-мороженые Ассорти,9,0,6,54
1360,Морепродукты консервированные,10,1.7,1.3,61
1361,Морская капуста,0.8,5.1,0,49
1362,Морская капуста маринованная,1,5,3,61
1363,Морская капуста сушеная,31.5,21.8,38.1,476
1364,Морской гребешок,17,2,3,92
1365,Нельма,22.3,2.8,0,115
1366,Нерка,20.3,8.4,0,157
1367,Нерка слабосоленая филе-кусок,21.3,9.1,0,166
1368,Окунь морской горячего копчения,23.5,9,0,175
1369,Окунь морской свежий,15.3,1.5,0,79
1370,Окунь речной жареный,20.6,9.1,4,180
1371,Окунь речной запечённый,6.8,4.7,8.4,103
1372,Окунь речной свежий,18.5,0.9,0,82
1373,Осётр свежий,16.4,10.9,0,163
1374,Осьминог,18.2,0,0,73
1375,Осьминог копченый охлажденный,34,3,10,203
1376,Осьминог консервированный,21,5.2,4,135
1377,Осьминог маринованный,18.2,0,0,73
1378,Осьминог мини,14.9,1,2.2,82
1379,Палтус отварной,14,17.8,0,216
1380,Палтус свежий,18.9,3,0,102
1381,Пангасиус,15,3,0,89
1382,Паста MARE Снежный краб в классическом соусе,2,43,9.5,430
1383,Паста Крем-Фиш Треска,8,30,3,310
1384,Раки морские вареные,20.5,0.7,0.3,90
1385,Раки морские свежие,18.8,1.3,0.5,89
1386,Раки речные вареные,20.3,1.3,1,97
1387,Раки речные свежие,15.5,1,1.2,76
1388,Рыбный фарш,16,0.6,0,69
1389,Сайда,19.4,0.9,0,92
1390,Сардина атлантическая с добавлением масла,19,18,0,238
1391,Сардина в томатном соусе,17,9.9,1.4,162
1392,Сардина тихоокеанская Доброфлот Иваси натуральная,20,13,0,197
1393,Сельдь слабосоленая филе кусочки,12,13,0,156
1394,Сельдь VICI Из бочки филе с кожей солёная в рассоле с пряностями,11.3,11.4,0,148
1395,Сельдь атлантическая Балтийский берег По-царски с укропом в масле,9,52,0,500
